Nombre;	Fecha;	Votos;	Puntos;
Godzilla vs. Kong	;	2021-03-24	;	4497	;	8.3
Zack Snyder's Justice League	;	2021-03-18	;	4933	;	8.5
Chaos Walking	;	2021-02-24	;	368	;	7.5
Mortal Kombat	;	2021-04-07	;	42	;	7.4
Raya and the Last Dragon	;	2021-03-03	;	2288	;	8.3
Mortal Kombat Legends: Scorpion's Revenge	;	2020-04-12	;	841	;	8.4
Twist	;	2021-01-22	;	36	;	7.0
Cherry	;	2021-02-26	;	506	;	7.6
Tom & Jerry	;	2021-02-11	;	1202	;	7.3
Monster Hunter	;	2020-12-03	;	1460	;	7.1
Sentinelle	;	2021-03-05	;	335	;	6.0
Wonder Woman 1984	;	2020-12-16	;	4846	;	6.8
???	;	2021-02-05	;	493	;	7.2
Bajocero	;	2021-01-29	;	512	;	6.4
Thunder Force	;	2021-04-09	;	300	;	5.8
The Unholy	;	2021-03-31	;	30	;	5.9
Outside the Wire	;	2021-01-15	;	983	;	6.5
Just Say Yes	;	2021-04-02	;	65	;	5.9
???????, ??????? ? ????????? ?????	;	2021-03-18	;	95	;	7.2
Black Water: Abyss	;	2020-07-09	;	192	;	4.9
